County,New Probable 2020-11-01,New Probable 2020-11-02,New Probable 2020-11-03,New Probable 2020-11-04,New Probable 2020-11-05,New Probable 2020-11-06,New Probable 2020-11-07,New Probable 2020-11-08,New Probable 2020-11-09,New Probable 2020-11-10,New Probable 2020-11-11,New Probable 2020-11-12,New Probable 2020-11-13,New Probable 2020-11-14,New Probable 2020-11-15,New Probable 2020-11-16,New Probable 2020-11-17,New Probable 2020-11-18,New Probable 2020-11-19,New Probable 2020-11-20,New Probable 2020-11-21,New Probable 2020-11-22,New Probable 2020-11-23,New Probable 2020-11-24,New Probable 2020-11-25,New Probable 2020-11-26,New Probable 2020-11-27,New Probable 2020-11-28,New Probable 2020-11-29,New Probable 2020-11-30,New Probable 2020-12-01,New Probable 2020-12-02,New Probable 2020-12-03,New Probable 2020-12-04,New Probable 2020-12-05,New Probable 2020-12-06,New Probable 2020-12-07,New Probable 2020-12-08,New Probable 2020-12-09,New Probable 2020-12-10,New Probable 2020-12-11,New Probable 2020-12-12,New Probable 2020-12-13,New Probable 2020-12-14,New Probable 2020-12-15,New Probable 2020-12-16,New Probable 2020-12-17,New Probable 2020-12-18,New Probable 2020-12-19,New Probable 2020-12-20,New Probable 2020-12-21,New Probable 2020-12-22,New Probable 2020-12-23,New Probable 2020-12-24,New Probable 2020-12-25,New Probable 2020-12-26,New Probable 2020-12-27,New Probable 2020-12-28,New Probable 2020-12-29,New Probable 2020-12-30,New Probable 2020-12-31,New Probable 2021-01-01,New Probable 2021-01-02,New Probable 2021-01-03,New Probable 2021-01-04,New Probable 2021-01-05,New Probable 2021-01-06,New Probable 2021-01-07,New Probable 2021-01-08,New Probable 2021-01-09,New Probable 2021-01-10,New Probable 2021-01-11,New Probable 2021-01-12,New Probable 2021-01-13,New Probable 2021-01-14,New Probable 2021-01-15,New Probable 2021-01-16,New Probable 2021-01-17,New Probable 2021-01-18,New Probable 2021-01-19,New Probable 2021-01-20,New Probable 2021-01-21,New Probable 2021-01-22,New Probable 2021-01-23,New Probable 2021-01-24,New Probable 2021-01-25,New Probable 2021-01-26,New Probable 2021-01-27,New Probable 2021-01-28,New Probable 2021-01-29,New Probable 2021-01-30,New Probable 2021-01-31,New Probable 2021-02-01,New Probable 2021-02-02,New Probable 2021-02-03,New Probable 2021-02-04,New Probable 2021-02-05,New Probable 2021-02-06,New Probable 2021-02-07,New Probable 2021-02-08,New Probable 2021-02-09,New Probable 2021-02-10,New Probable 2021-02-11,New Probable 2021-02-12,New Probable 2021-02-13,New Probable 2021-02-14,New Probable 2021-02-15,New Probable 2021-02-16,New Probable 2021-02-17,New Probable 2021-02-18,New Probable 2021-02-19,New Probable 2021-02-20,New Probable 2021-02-21,New Probable 2021-02-22,New Probable 2021-02-23,New Probable 2021-02-24,New Probable 2021-02-25,New Probable 2021-02-26,New Probable 2021-02-27,New Probable 2021-02-28,New Probable 2021-03-01,New Probable 2021-03-02,New Probable 2021-03-03,New Probable 2021-03-04,New Probable 2021-03-05,New Probable 2021-03-06,New Probable 2021-03-07,New Probable 2021-03-08,New Probable 2021-03-09,New Probable 2021-03-10,New Probable 2021-03-11,New Probable 2021-03-12,New Probable 2021-03-13,New Probable 2021-03-14,New Probable 2021-03-15,New Probable 2021-03-16,New Probable 2021-03-17,New Probable 2021-03-18,New Probable 2021-03-19,New Probable 2021-03-20,New Probable 2021-03-21,New Probable 2021-03-22,New Probable 2021-03-23,New Probable 2021-03-24,New Probable 2021-03-25,New Probable 2021-03-26,New Probable 2021-03-27,New Probable 2021-03-28,New Probable 2021-03-29,New Probable 2021-03-30,New Probable 2021-03-31,New Probable 2021-04-01,New Probable 2021-04-02,New Probable 2021-04-03,New Probable 2021-04-04,New Probable 2021-04-05,New Probable 2021-04-06,New Probable 2021-04-07,New Probable 2021-04-08,New Probable 2021-04-09,New Probable 2021-04-10,New Probable 2021-04-11,New Probable 2021-04-12,New Probable 2021-04-13,New Probable 2021-04-14,New Probable 2021-04-15,New Probable 2021-04-16,New Probable 2021-04-17,New Probable 2021-04-18,New Probable 2021-04-19,New Probable 2021-04-20,New Probable 2021-04-21,New Probable 2021-04-22,New Probable 2021-04-23,New Probable 2021-04-24,New Probable 2021-04-25,New Probable 2021-04-26,New Probable 2021-04-27,New Probable 2021-04-28,New Probable 2021-04-29,New Probable 2021-04-30,New Probable 2021-05-01,New Probable 2021-05-02,New Probable 2021-05-03,New Probable 2021-05-04,New Probable 2021-05-05,New Probable 2021-05-06,New Probable 2021-05-07,New Probable 2021-05-08,New Probable 2021-05-09,New Probable 2021-05-10,New Probable 2021-05-11,New Probable 2021-05-12,New Probable 2021-05-13,New Probable 2021-05-14,New Probable 2021-05-15,New Probable 2021-05-16,New Probable 2021-05-17,New Probable 2021-05-18,New Probable 2021-05-19,New Probable 2021-05-20,New Probable 2021-05-21,New Probable 2021-05-22,New Probable 2021-05-23,New Probable 2021-05-24,New Probable 2021-05-25,New Probable 2021-05-26,New Probable 2021-05-27,New Probable 2021-05-28,New Probable 2021-05-29,New Probable 2021-05-30,New Probable 2021-05-31,New Probable 2021-06-01,New Probable 2021-06-02,New Probable 2021-06-03,New Probable 2021-06-04,New Probable 2021-06-05,New Probable 2021-06-06,New Probable 2021-06-07,New Probable 2021-06-08,New Probable 2021-06-09,New Probable 2021-06-10,New Probable 2021-06-11,New Probable 2021-06-12,New Probable 2021-06-13,New Probable 2021-06-14,New Probable 2021-06-15,New Probable 2021-06-16,New Probable 2021-06-17,New Probable 2021-06-18,New Probable 2021-06-19,New Probable 2021-06-20,New Probable 2021-06-21,New Probable 2021-06-22,New Probable 2021-06-23,New Probable 2021-06-24,New Probable 2021-06-25,New Probable 2021-06-26,New Probable 2021-06-27,New Probable 2021-06-28,New Probable 2021-06-29,New Probable 2021-06-30,New Probable 2021-07-01,New Probable 2021-07-02,New Probable 2021-07-03,New Probable 2021-07-04,New Probable 2021-07-05,New Probable 2021-07-06,New Probable 2021-07-07,New Probable 2021-07-08,New Probable 2021-07-09,New Probable 2021-07-10,New Probable 2021-07-11,New Probable 2021-07-12,New Probable 2021-07-13,New Probable 2021-07-14,New Probable 2021-07-15,New Probable 2021-07-16,New Probable 2021-07-17,New Probable 2021-07-18,New Probable 2021-07-19,New Probable 2021-07-20,New Probable 2021-07-21,New Probable 2021-07-22,New Probable 2021-07-23,New Probable 2021-07-24,New Probable 2021-07-25,New Probable 2021-07-26,New Probable 2021-07-27,New Probable 2021-07-28,New Probable 2021-07-29,New Probable 2021-07-30,New Probable 2021-07-31,New Probable 2021-08-01,New Probable 2021-08-02,New Probable 2021-08-03,New Probable 2021-08-04,New Probable 2021-08-05,New Probable 2021-08-06,New Probable 2021-08-07,New Probable 2021-08-08,New Probable 2021-08-09,New Probable 2021-08-10
Bastrop,0,0,6,0,0,5,8,5,0,16,5,4,5,3,0,0,9,6,5,8,5,0,0,9,12,7,0,0,0,0,1,19,14,12,8,5,8,13,3,3,12,23,0,0,29,8,12,8,8,15,0,32,15,17,0,0,0,0,77,4,24,11,0,0,0,41,33,11,18,5,1,0,0,4,11,22,13,3,0,3,17,50,10,38,0,1,28,45,8,6,42,1,139,30,7,20,18,6,0,26,1,8,2,9,4,0,0,5,0,2,5,0,0,1,2,10,12,1,7,0,6,11,6,0,4,4,0,6,2,5,5,5,2,0,2,0,14,8,1,2,0,2,2,6,6,5,4,0,18,-8,2,14,2,2,0,2,16,4,2,6,11,0,12,6,9,3,7,4,0,3,12,10,7,10,3,0,26,1,9,7,5,4,0,7,0,7,0,7,13,0,11,6,0,3,4,1,0,4,3,0,6,0,3,0,12,-8,0,4,4,-1,0,0,0,6,0,-4,0,0,4,4,0,7,0,0,0,0,6,7,0,0,0,0,3,1,1,3,0,1,0,0,5,2,12,3,1,0,3,9,3,3,5,7,0,0,10,11,3,8,9,0,0,10,2,6,8,9,0,3,15,23,9,0,33,0,11,3,37,14,20,9,0,7,55
Baylor,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,3,0,0,0,0,9,2,7,2,0,0,0,1,1,0,0,8,0,0,8,0,1,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bee,0,0,0,68,0,1,2,0,0,2,3,0,4,1,0,0,3,4,0,0,0,0,0,2,0,1,0,0,8,-7,2,9,1,0,0,0,0,9,4,0,6,0,7,0,6,4,2,7,4,4,0,8,8,-2,5,0,10,0,14,19,6,3,0,7,0,11,2,5,5,12,0,0,17,5,2,3,4,1,0,1,8,7,2,2,1,0,4,0,10,2,2,6,0,2,0,2,2,1,2,0,6,3,2,3,1,5,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,1,-1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,1,3,1,3,0,0,0,1,2,1,2,3,7,0,10,4,3,12,2,-7,0,6
Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,2,0,0,0,5,0,8,0,0,6,0,2,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,49,0,0,21,20,0,78,16,35,0,0,14,0,48,0,30,0,0,65,0,30,39,54,0,0,0
Bexar,54,32,45,88,52,68,87,112,0,83,109,0,0,337,129,61,48,205,163,127,140,137,541,101,297,212,0,70,95,171,99,187,354,268,140,250,132,110,309,262,247,191,250,138,80,195,303,372,298,240,66,143,316,301,0,0,0,498,86,297,288,0,0,533,90,39,539,461,395,329,134,354,230,281,488,229,289,243,127,0,435,243,164,193,123,89,55,248,146,148,101,141,48,120,119,150,123,36,172,318,77,63,167,112,110,86,0,0,0,0,0,0,369,23,10,43,77,80,80,90,0,22,24,95,28,28,21,-2,21,44,32,67,38,28,7,29,27,31,13,63,47,78,29,29,48,41,9,32,56,33,27,32,57,0,0,0,128,13,75,20,47,0,0,109,94,60,20,13,0,0,201,37,106,79,27,0,0,122,39,116,132,51,0,0,143,22,47,53,12,0,0,126,27,90,64,8,0,0,120,22,58,18,16,0,0,112,55,9,46,30,0,0,0,0,0,200,33,0,0,0,0,173,0,0,0,0,0,0,384,0,0,0,0,0,0,324,0,0,0,0,0,0,492,0,0,0,0,0,0,567,0,0,0,0,0,0,591,0,0,0,0,0,0,712,0,0,0,0,0,614,0,515,0,0,0,0,910,0,0,715,0,0,0
Blanco,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,3,0,0,-1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,2,3,0,0,1,0,0,0,2,0,1,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,-1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,1,1,0,1,1
Borden,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,0,0,0,0,1,0,3,0,0,3,2,0,1,0,0,1,1,0,0,4,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,20,3,2,1,0,0,0,30,0,0,11,7,15,0,2,8,6,6,0,1,1,0,6,0,0,-1,0,0,0,0,0,0,0,0,19,4,2,0,-1,2,1,4,1,5,1,1,1,0,0,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,1,0,0,2,4,0,0,2,0,3,6,7,6,1,0,0,10,6
Bowie,0,-2,1,16,10,8,0,5,0,10,7,5,47,0,21,4,17,11,9,4,7,0,0,27,2,2,1,2,0,0,7,10,26,6,22,4,5,10,1,0,12,4,0,8,11,2,17,23,8,10,0,6,0,34,14,11,16,0,10,4,75,8,1,6,7,2,12,2,39,27,4,-60,81,20,19,8,7,0,7,6,9,11,16,39,2,0,19,10,20,12,32,5,14,8,32,6,29,26,0,5,7,8,10,17,19,0,8,7,11,2,15,8,13,7,15,11,5,10,3,3,0,10,2,10,22,9,12,0,7,2,0,3,4,7,1,10,0,6,1,5,2,0,7,2,5,2,2,1,4,1,1,0,2,4,-1,1,0,7,3,1,4,5,-2,0,0,1,1,3,1,0,3,6,2,0,5,0,0,-2,1,1,2,0,1,0,4,3,1,3,10,3,0,3,7,2,2,5,1,0,1,1,1,7,7,0,3,1,1,0,2,0,1,1,0,6,4,3,3,0,0,-1,6,2,-1,7,3,2,8,5,5,4,39,0,0,4,4,3,5,5,0,1,7,0,0,3,2,0,0,2,9,8,6,9,-1,1,9,0,1,5,12,2,0,20,10,10,4,9,3,1,8,42,18,10,14,6,4,13,29,22,49,20,7,2,28
Brazoria,0,5,0,0,31,9,15,3,4,6,6,21,18,3,38,0,24,18,11,40,31,17,5,7,19,17,0,0,67,21,7,-7,87,48,105,0,18,16,52,17,30,21,55,43,20,29,70,95,63,35,0,27,40,57,38,0,31,41,11,12,40,81,0,80,0,23,48,60,94,95,55,0,119,37,51,85,93,103,30,39,46,38,70,121,99,0,105,12,0,180,90,51,68,28,40,96,158,82,599,69,24,26,221,-108,70,28,52,22,5,5,12,18,3,0,5,42,29,84,115,72,0,25,46,0,114,0,95,20,49,23,22,27,29,17,22,17,23,11,8,63,25,0,50,16,30,0,45,8,0,40,19,0,50,0,0,0,24,36,18,15,32,-2,30,31,15,9,21,0,83,13,19,1,19,36,23,13,36,10,7,27,-3,70,0,23,20,0,23,19,0,54,0,24,13,4,31,2,26,0,31,10,6,7,7,0,0,0,25,7,17,0,0,0,0,26,27,11,6,0,0,8,16,23,20,17,0,0,16,19,2,6,2,0,0,1,12,6,6,3,0,0,6,2,6,2,0,0,0,0,22,0,48,14,0,0,22,3,52,31,15,0,0,25,11,50,35,16,0,0,25,61,55,67,39,0,0,70,95,106,0,163,0,0,72
Brazos,0,0,22,11,12,20,29,0,0,54,9,26,-1303,0,0,0,50,18,16,14,33,0,0,50,12,66,0,0,0,0,17,13,7,49,75,0,0,111,8,0,43,16,0,0,28,6,29,11,34,0,0,73,15,49,0,0,0,0,29,41,125,0,0,0,0,43,17,6,56,19,0,0,0,105,0,98,55,0,0,0,46,30,44,0,0,0,111,54,55,21,55,0,0,46,9,49,31,25,0,0,56,5,31,33,24,0,0,0,0,0,0,0,0,0,74,50,21,0,0,0,0,29,29,29,3,25,0,0,7,13,0,35,5,0,0,3,3,14,3,18,0,0,3,0,11,9,14,0,0,7,17,11,6,0,0,0,5,0,15,7,3,0,0,0,3,4,9,4,0,0,3,3,16,5,5,0,0,11,5,3,1,11,0,0,5,0,3,0,5,0,0,4,4,3,1,1,0,0,4,1,1,0,0,0,0,0,1,2,7,7,0,0,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,8,2,4,0,0,0,2,0,5,1,0,0,8,0,2,8,2,0,0,1,0,18,3,4,0,0,0,10,0,6,6,0,0,14,29,8,3,12,0,0,27
Brewster,0,0,0,1,1,0,1,0,0,0,2,5,-2,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,-10,1,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,5,3,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,1,0,0,23,0,-7,2,2,1,0,0,2,3,0,4,2,1,0,0,1,1,2,0,3,0,0,0,0,0,0,-1,0,2,-1,0,1,0,0,0,0,-1,0,0,1,0,0,1,-4,-2,-1,0,1,0,0,-1,1,0,0,1,0,2,0,0,7,1,0,0,0,0,0,-1,-1,2,0,1,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,-2,0,0,2,0,0,0,0,3,0,2,0,0,0
Briscoe,0,0,0,2,1,0,0,0,0,1,2,0,5,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,-1,2,0,0,0,1,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Brooks,0,0,0,32,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0,0,2,3,1,-1,4,4,0,3,-1,0,0,0,0,0,-9,-1,0,5,0,4,0,2,2,0,1,5,2,0,-4,2,1,1,0,0,0,1,2,2,1,-1,0,0,0,0,0,1,0,2,0,-2,0,1,0,1,2,0,-1,-1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,20,-19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,-3,0,0,0,0,0,1,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,3,0,1,10,2,0,2,1,4,1,2,0,0,2
Brown,0,0,22,16,20,0,0,0,0,13,52,0,32,12,0,0,33,34,43,26,16,0,0,41,0,36,0,0,0,0,22,58,34,19,37,0,0,39,33,30,21,16,0,0,27,24,13,32,18,0,0,69,42,37,0,0,0,0,66,26,15,19,0,0,0,57,48,27,22,19,0,0,34,17,32,29,11,0,0,0,64,22,29,14,0,0,53,19,10,20,9,0,0,16,0,0,0,43,0,0,0,0,0,0,81,0,0,0,0,0,0,42,0,0,0,0,0,0,47,0,0,0,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,53,0,0,0,0,0,0,47,0,0,0,0,0,0,110,0,0,0
Burleson,0,0,3,0,0,1,2,0,0,2,0,1,3,0,0,0,2,0,1,6,4,0,0,2,7,0,0,0,0,0,0,2,0,1,5,0,0,1,0,0,4,0,0,0,2,3,1,1,2,1,0,2,2,2,0,0,0,0,3,2,0,0,0,0,0,1,4,2,10,16,2,0,2,1,2,19,1,0,0,0,4,1,1,0,1,-1,2,1,6,4,0,1,6,8,3,4,12,35,0,7,0,2,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,-2,3,0,1,0,0,2,2,0,2,0,2,0,2,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,1,4,0,1,0,0,2,2,0,0,0,1,0,2,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0,2,-2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0,1,3,0,0,0
Burnet,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,1,3,1,1,2,5,0,0,3,1,0,0,1,0,1,0,0,5,1,0,0,0,2,3,2,6,3,0,1,0,1,3,1,2,1,0,1,2,0,0,0,0,0,10,6,2,1,0,0,0,1,5,3,2,17,0,3,0,5,0,3,12,3,0,1,3,12,1,2,0,0,0,1,3,4,1,2,65,16,6,1,0,3,0,7,1,4,11,5,4,0,0,15,1,4,0,0,0,0,2,2,5,6,4,0,4,2,7,3,6,0,0,2,4,5,2,0,5,0,7,0,3,0,4,2,0,1,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,1,7,0,7,0,1,0,0,0,0,6,0,1,2,14,1,0,5,0,0,2,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,-2,-7,0,0,0,3,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,3,1,0,0,0,1,2,1,1,0,0,0,0,1,0,0,2,0,1,3,0,2,1,11,0,0,0,5,2,2,9,0,0,11
Caldwell,0,0,3,1,4,0,2,0,0,1,1,0,3,2,0,0,2,0,1,3,0,0,0,1,1,2,0,0,1,0,0,1,1,5,2,0,-1,2,5,4,0,6,0,0,2,2,0,1,4,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,1,3,1,14,7,1,0,0,1,12,1,1,0,2,0,0,5,2,0,0,1,1,4,4,1,0,1,17,1,-1,0,4,2,0,3,1,0,1,1,1,0,0,0,0,2,1,0,0,0,0,1,1,6,0,0,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,3,-2,0,2,1,1,0,0,0,0,1,0,2,0,4,0,1,3,0,0,0,2,-1,1,0,0,0,0,0,0,1,2,2,1,0,1,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,4,0,4,0,8,-7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1,0,0,3,2,2,0,2,0,2,0,4,3,3,5,0,1,2
